date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2025/4/1,sh.603712,18.85,19.59,18.85,19.39,18.8,12562800,242985446.3,3,1.6273,1,3.1383,0
2025/4/2,sh.603712,19.2,19.59,19.11,19.22,19.39,11209300,216678628,3,1.452,1,-0.8767,0
2025/4/3,sh.603712,19.06,19.48,18.72,19.23,19.22,10499330,200482984.4,3,1.36,1,0.052,0
2025/4/7,sh.603712,18.6,18.96,17.31,17.83,19.23,18924580,343046474.5,3,2.4514,1,-7.2803,0
2025/4/8,sh.603712,17.86,18.51,17.34,17.76,17.83,11630877,207099256.6,3,1.5066,1,-0.3926,0
2025/4/9,sh.603712,17.61,19.54,17.25,19.54,17.76,20895300,396634366,3,2.7066,1,10.0225,0
2025/4/10,sh.603712,19.49,20.26,19.28,19.71,19.54,26482650,527104281.5,3,3.4304,1,0.87,0
2025/4/11,sh.603712,19.59,20.42,19.45,20.12,19.71,20907710,419745756.1,3,2.7083,1,2.0802,0
2025/4/14,sh.603712,20.15,20.4,19.83,19.98,20.12,14276560,286249258,3,1.8493,1,-0.6958,0
2025/4/15,sh.603712,19.96,20.53,19.66,20.38,19.98,14495205,291082865,3,1.8776,1,2.002,0
2025/4/16,sh.603712,20.35,20.35,19.72,19.94,20.38,9315650,186411299,3,1.2067,1,-2.159,0
2025/4/17,sh.603712,19.88,20.56,19.88,19.99,19.94,13823500,280366063,3,1.7906,1,0.2508,0
2025/4/18,sh.603712,19.99,20.48,19.51,20,19.99,10357374,206407499.4,3,1.3416,1,0.05,0
2025/4/21,sh.603712,20.05,20.41,19.86,20.19,20,9243562,186883460,3,1.1974,1,0.95,0
2025/4/22,sh.603712,20.09,20.19,19.6,19.88,20.19,11471100,227800834,3,1.4859,1,-1.5354,0
2025/4/23,sh.603712,19.81,19.97,19.02,19.29,19.88,13999400,270197830,3,1.8134,1,-2.9678,0
2025/4/24,sh.603712,19.11,19.45,18.8,19.32,19.29,9820568,188456551,3,1.2721,1,0.1555,0
