code,date,open,high,low,close,preclose,volume,turn,tradestatus
sh.000001,2025-01-02,3347.9392,3351.722,3242.0865,3262.5607,3351.763,56137519900,1.21747,1
sh.000001,2025-01-03,3267.0766,3273.5656,3205.7755,3211.4299,3262.5607,51759201400,1.122234,1
sh.000001,2025-01-06,3209.7832,3219.4877,3185.4631,3206.9228,3211.4299,43097840300,0.934313,1
sh.000001,2025-01-07,3203.3068,3230.8529,3190.4612,3229.6439,3206.9228,40966052900,0.888098,1
sh.000001,2025-01-08,3218.8577,3246.2908,3175.7247,3230.1679,3229.6439,47286439000,1.025115,1
sh.000001,2025-01-09,3220.7205,3228.9725,3205.9103,3211.3933,3230.1679,38294355700,0.830176,1
sh.000001,2025-01-10,3211.7068,3220.1073,3168.5238,3168.5238,3211.3933,40366334800,0.875064,1
sh.000001,2025-01-13,3148.8259,3172.7,3140.9775,3160.755,3168.5238,37274202300,0.808023,1
sh.000001,2025-01-14,3165.1613,3245.2196,3159.432,3240.94,3160.755,46921270400,1.017081,1
sh.000001,2025-01-15,3234.7152,3245.9042,3222.2359,3227.1167,3240.94,40472319900,0.87727,1
sh.000001,2025-01-16,3239.0261,3265.2824,3217.0966,3236.032,3227.1167,43065553900,0.933498,1
sh.000001,2025-01-17,3226.7616,3256.5067,3219.7734,3241.8212,3236.032,38359926000,0.831498,1
sh.000001,2025-01-20,3256.1492,3268.2626,3238.1214,3244.3776,3241.8212,40333794800,0.874131,1
sh.000001,2025-01-21,3256.8325,3258.6103,3229.0689,3242.6226,3244.3776,38458371800,0.833329,1
sh.000001,2025-01-22,3235.4925,3235.5013,3203.3801,3213.6237,3242.6226,36481751800,0.790499,1
sh.000001,2025-01-23,3237.5988,3273.5203,3229.5716,3230.1637,3213.6237,45824680300,0.992944,1
sh.000001,2025-01-24,3222.8774,3260.0112,3221.7121,3252.6264,3230.1637,39865303300,0.863478,1
sh.000001,2025-01-27,3256.6136,3274.3924,3250.6007,3250.6007,3252.6264,38746764200,0.839238,1
sh.000001,2025-02-05,3270.1604,3271.022,3220.2794,3229.4876,3250.6007,40638818100,0.878814,1
sh.000001,2025-02-06,3226.575,3271.4271,3225.8459,3270.6594,3229.4876,46084273000,0.996491,1
sh.000001,2025-02-07,3269.2269,3324.428,3262.5085,3303.6666,3270.6594,60055845100,1.298616,1
sh.000001,2025-02-10,3308.04,3325.3558,3299.2429,3322.1698,3303.6666,54658974900,1.181843,1
sh.000001,2025-02-11,3323.6694,3324.1727,3304.4443,3318.0569,3322.1698,51194354100,1.106668,1
sh.000001,2025-02-12,3312.2572,3346.3854,3310.3904,3346.3854,3318.0569,51343782800,1.109801,1
sh.000001,2025-02-13,3343.2347,3359.1807,3332.4826,3332.4826,3346.3854,56863116100,1.229101,1
sh.000001,2025-02-14,3328.483,3349.0836,3322.5289,3346.7242,3332.4826,53233296500,1.150568,1
sh.000001,2025-02-17,3355.4171,3357.1212,3333.1948,3355.8296,3346.7242,58954656900,1.274212,1
sh.000001,2025-02-18,3348.9827,3366.0119,3314.3006,3324.4906,3355.8296,56267924000,1.216078,1
sh.000001,2025-02-19,3320.7801,3352.0867,3320.5809,3351.5392,3324.4906,50291296500,1.086897,1
sh.000001,2025-02-20,3347.5893,3355.5571,3338.0335,3350.7833,3351.5392,50435711400,1.09001,1
sh.000001,2025-02-21,3356.6947,3381.0575,3339.0256,3379.1128,3350.7833,60819020600,1.298313,1
sh.000001,2025-02-24,3374.0813,3384.8106,3355.8694,3373.0276,3379.1128,59818820300,1.276895,1
sh.000001,2025-02-25,3345.6534,3369.5583,3337.8448,3346.0398,3373.0276,52757856200,1.125934,1
sh.000001,2025-02-26,3351.2093,3380.2144,3351.2093,3380.2144,3346.0398,55399203100,1.182281,1
sh.000001,2025-02-27,3378.4494,3388.7808,3353.5712,3388.0622,3380.2144,57581502000,1.228727,1
sh.000001,2025-02-28,3374.6636,3383.1909,3318.7162,3320.8973,3388.0622,56831950400,1.212735,1
sh.000001,2025-03-03,3328.3955,3349.0169,3304.5931,3316.9253,3320.8973,50241786200,1.072083,1
sh.000001,2025-03-04,3300.498,3327.8242,3297.5304,3324.2099,3316.9253,42999611100,0.917482,1
sh.000001,2025-03-05,3324.6962,3342.7143,3314.1478,3341.9649,3324.2099,46095269600,0.985559,1
sh.000001,2025-03-06,3353.5703,3387.0538,3348.684,3381.0983,3341.9649,53999270900,1.154577,1
sh.000001,2025-03-07,3373.1808,3390.9442,3363.9288,3372.5458,3381.0983,51766355100,1.106799,1
sh.000001,2025-03-10,3373.2588,3375.7978,3347.1859,3366.163,3372.5458,45038083200,0.0,1
sh.000001,2025-03-11,3335.4394,3379.8287,3334.8313,3379.8284,3366.163,44846832300,0.958845,1
sh.000001,2025-03-12,3385.6853,3392.4086,3370.2204,3371.9235,3379.8284,50219510000,1.073717,1
sh.000001,2025-03-13,3371.0945,3377.1183,3341.1182,3358.7285,3371.9235,51901347900,1.10968,1
sh.000001,2025-03-14,3361.6861,3421.2333,3360.6063,3419.5616,3358.7285,58266338800,1.244159,1
sh.000001,2025-03-17,3430.8093,3436.3516,3422.4618,3426.1285,3419.5616,51568513800,1.101125,1
sh.000001,2025-03-18,3434.5653,3437.0654,3423.3005,3429.7593,3426.1285,45491606300,0.971285,1
sh.000001,2025-03-19,3424.1726,3439.0463,3414.5933,3426.4291,3429.7593,44031629900,0.94011,1
sh.000001,2025-03-20,3425.2157,3427.0454,3404.662,3408.9482,3426.4291,45163068200,0.964264,1
sh.000001,2025-03-21,3401.7593,3414.7094,3355.8396,3364.8307,3408.9482,52086263000,1.112062,1
sh.000001,2025-03-24,3364.8342,3373.6936,3340.2383,3370.0283,3364.8307,51331026000,1.095938,1
sh.000001,2025-03-25,3370.0008,3379.9884,3361.0462,3369.9763,3370.0283,45635739300,0.974072,1
sh.000001,2025-03-26,3365.6658,3382.3424,3365.6658,3368.6973,3369.9763,42853377000,0.914684,1
