code,name,market,industry_em,营收_2026Q1,归母净利润_2026Q1,扣非归母_2026Q1,毛利率_2026Q1,营收_2025A,归母净利润_2025A,扣非归母_2025A,毛利率_2025A,营收_2024A,归母净利润_2024A,扣非归母_2024A,毛利率_2024A
688302,海创药业-U,SH,化学制药,2602.55,-2988.2,-2988.2,99.82%,2046.99,-1.37,-1.37,98.62%,36.68,-1.99,-1.99,8.43%
688197,首药控股-U,SH,化学制药,2800,-1509.08,-1509.08,100.00%,866.76,-1.29,-1.29,96.93%,394.2,-2.12,-2.12,98.96%
688578,艾力斯,SH,化学制药,15.84,6.36,6.36,94.91%,51.87,21.89,21.89,96.83%,35.58,14.3,14.3,95.97%
567,海德股份,SZ,多元金融,5.47,4.2,4.21,99.41%,7.04,3.85,3.8,96.14%,8.61,3.3,3.11,98.14%
688692,达梦数据,SH,软件开发,4.11,1.51,1.48,96.56%,13.06,5.17,5.15,96.12%,10.44,3.62,3.6,89.63%
688083,中望软件,SH,软件开发,1.47,-3830.45,-3897.26,97.06%,8.93,2074.54,2041.72,95.97%,8.88,6396.43,4836.18,94.42%
688192,迪哲医药-U,SH,化学制药,2.53,-9555.74,-9670.22,95.92%,8.01,-7.64,-7.69,95.73%,3.6,-8.46,-9.4,97.41%
300357,我武生物,SZ,生物制品,2.53,1.19,1.17,95.25%,10.62,3.81,3.68,95.24%,9.25,3.18,3.04,95.16%
600211,西藏药业,SH,生物制品,7.24,2.99,2.83,92.90%,29.82,9.38,9.17,94.22%,28.07,10.51,10.57,94.22%
603444,吉比特,SH,游戏Ⅱ,18.47,5.18,6.17,93.77%,62.05,17.94,21.46,93.90%,36.96,9.45,11.79,87.86%
603039,泛微网络,SH,软件开发,3.33,6213.08,6213.08,93.72%,22.87,2.89,2.89,93.75%,23.62,2.03,2.03,93.25%
300533,冰川网络,SZ,游戏Ⅱ,6.21,-976.29,-1321.5,93.22%,25.54,4.83,5.01,93.27%,27.88,-2.47,-2.23,93.34%
688520,神州细胞,SH,生物制品,3.23,-1.76,-1.81,89.57%,15.6,-5.65,-5.66,93.10%,25.13,1.12,1.12,95.91%
688443,智翔金泰-U,SH,生物制品,6724.67,-1.49,-1.49,86.85%,2.31,-5.36,-5.36,93.02%,3009.5,-7.97,-7.97,82.36%
688278,特宝生物,SH,生物制品,7.98,1.64,1.64,89.45%,36.96,10.31,10.31,92.96%,28.17,8.28,8.28,93.49%
688319,欧林生物,SH,生物制品,1.58,2718.93,2719.77,91.84%,7.04,2226.01,2189.87,92.96%,5.89,2075.76,1572.07,94.45%
300896,爱美客,SZ,医疗美容,6.34,2.98,3.01,92.49%,24.53,12.91,13.02,92.70%,30.26,19.58,19.56,94.64%
688657,浩辰软件,SH,软件开发,7454.69,425.53,391.42,91.94%,3.32,5080.16,5083.16,92.59%,2.89,6299.91,6333.87,92.00%
688336,三生国健,SH,生物制品,4.31,1.78,1.77,80.71%,41.99,28.99,28.92,92.07%,11.94,7.05,6.91,74.50%
300841,康华生物,SZ,生物制品,1.72,2736.34,2736.34,90.98%,11.65,2.2,2.2,92.03%,14.32,3.99,3.99,94.20%
688428,诺诚健华,SH,化学制药,5.29,1.06,1.02,88.14%,23.75,6.42,6.44,91.95%,10.09,-4.41,-4.53,86.29%
300033,同花顺,SZ,软件开发,10.53,2.56,2.56,84.99%,60.29,32.05,32.05,91.54%,41.87,18.23,18.23,89.41%
600519,XD贵州茅,SH,白酒Ⅱ,539.09,272.43,281.54,89.76%,1688.38,823.2,853.1,91.18%,1708.99,862.28,893.35,91.93%
301080,百普赛斯,SZ,生物制品,2.36,4625.71,4625.71,90.35%,8.38,1.66,1.65,91.16%,6.45,1.24,1.2,90.93%
600106,重庆路桥,SH,铁路公路,2449.24,2654.67,2654.67,90.17%,1.13,1.14,1.14,91.09%,1.13,1.57,1.57,84.42%
2558,巨人网络,SZ,游戏Ⅱ,23.29,10.8,11.66,95.38%,50.47,17.55,17.68,91.03%,29.23,14.25,14.31,87.34%
688506,百利天恒,SH,生物制品,9458.68,-7.75,-7.75,54.15%,25.2,-10.54,-10.54,90.78%,58.23,37.08,37.08,95.46%
300624,万兴科技,SZ,软件开发,3.69,-4798.35,-4773.53,87.66%,15.33,-9123.22,-9274.06,90.77%,14.4,-1.63,-1.57,93.22%
688266,泽璟制药-U,SH,化学制药,9.05,6.33,6.33,97.01%,8.1,-1.63,-1.65,90.42%,5.33,-1.38,-1.5,93.06%
688062,迈威生物-U,SH,化学制药,1.28,-2.42,-2.43,76.15%,6.63,-9.69,-9.72,90.27%,2,-10.44,-10.47,85.51%
603590,康辰药业,SH,生物制品,2.15,4721.36,4851.21,89.81%,9.15,1.66,1.69,89.92%,8.25,4221.67,2153.05,89.57%
688505,复旦张江,SH,化学制药,1.49,771.16,763.55,91.76%,6.86,-1.57,-1.58,89.89%,7.09,3973.39,3943.41,91.37%
2773,康弘药业,SZ,生物制品,10.46,3.07,3.03,88.66%,45.85,11.63,11.46,89.85%,44.53,11.91,11.77,89.52%
688566,吉贝尔,SH,化学制药,2.26,4199.42,4094.81,90.15%,9.66,2.62,2.61,89.46%,8.97,2.19,2.19,89.38%
688088,XD虹软科,SH,IT服务Ⅱ,2.27,5408.36,5408.36,90.40%,9.23,2.58,2.58,89.35%,8.15,1.77,1.77,90.43%
301269,华大九天,SZ,软件开发,2.57,-7300.39,-7307.02,78.80%,13.25,6098.35,6096.88,89.25%,12.22,1.09,1.09,93.31%
688198,佰仁医疗,SH,医疗器械,1.44,4137.53,4337.84,88.17%,6.2,1.94,1.8,89.18%,5.02,1.46,1.32,88.34%
688095,福昕软件,SH,软件开发,2.32,1126.65,296.83,91.69%,10.67,3023.64,4612,87.90%,7.11,2695.83,2338.97,93.41%
300935,盈建科,SZ,软件开发,1212.63,-2534.58,-2534.58,90.58%,1.27,-7867.19,-7867.19,87.89%,1.34,-5078.03,-5078.03,93.33%
688235,百济神州,SH,化学制药,105.44,16.08,16.08,89.02%,382.25,14.61,14.61,87.61%,272.14,-49.78,-49.78,84.44%
300803,指南针,SZ,软件开发,5.18,1.11,1.1,89.98%,15.39,2.28,2.26,87.44%,12.11,1.04,1.04,85.69%
300459,汤姆猫,SZ,游戏Ⅱ,2.38,3074.71,3016.31,87.17%,9.26,-12.04,-12.07,87.34%,11.43,-8.59,-8.63,89.34%
688331,荣昌生物,SH,生物制品,6.56,3.28,3.28,82.18%,32.51,7.1,7.1,87.28%,17.17,-14.68,-14.68,80.36%
688321,微芯生物,SH,化学制药,2.57,2827.19,2827.19,85.80%,9.1,5095.92,5095.92,87.12%,6.58,-1.15,-1.15,86.71%
688206,概伦电子,SH,软件开发,1.01,-1229.15,-1246.57,86.21%,4.84,3424.32,3387.5,86.89%,4.19,-9597.08,-9582.43,86.17%
688615,合合信息,SH,软件开发,5.04,1.55,1.55,87.58%,18.1,4.54,4.54,86.70%,14.38,4.01,4.01,84.28%
568,泸州老窖,SZ,白酒Ⅱ,80.25,37.08,37.3,85.82%,257.31,108.31,108.6,86.62%,311.96,134.73,134.98,87.54%
688382,益方生物-U,SH,化学制药,4254.24,-4436.72,-4436.72,96.17%,3728.97,-3.17,-3.17,86.54%,1.69,-2.4,-2.4,97.68%
600276,恒瑞医药,SH,化学制药,81.41,22.82,22.81,86.60%,316.29,77.11,77.17,86.21%,279.85,63.37,63.37,86.25%
688111,金山办公,SH,软件开发,16.13,21.95,21.95,86.59%,59.29,18.36,18.22,85.95%,51.21,16.45,16.55,85.14%
2410,广联达,SZ,软件开发,11.56,3419.91,4629.36,89.73%,60.68,4.05,4.41,85.88%,62.03,2.5,2.71,84.33%
300653,正海生物,SZ,医疗器械,8102.87,1474.93,1474.93,82.65%,3.64,8241.01,8241.01,85.88%,3.63,1.35,1.35,87.64%
688582,芯动联科,SH,半导体,5110.49,255.33,255.33,77.78%,5.24,3.03,3.03,85.77%,4.05,2.22,2.22,85.03%
915,华特达因,SZ,化学制药,4.12,1.11,2.09,81.87%,22.28,5.35,10.29,85.11%,21.34,5.16,10.06,83.83%
688435,英方软件,SH,软件开发,3585.61,-1196.97,-1196.97,74.45%,1.89,-1483.06,-1483.06,85.06%,1.9,-2858.5,-2858.5,86.59%
