板块,名称,代码,阶段1起点日,阶段1起点价,阶段1终点日,阶段1终点价,阶段1涨幅%(0601→0615),阶段2终点日,阶段2终点价,阶段2涨幅%(0615→0623),总涨幅%(0601→0623)
CCL,金安国纪,sz002636,2026/6/1,49.87,2026/6/15,97.34,95.19%,2026/6/23,108.64,11.61%,117.85%
CCL,华正新材,sh603186,2026/6/1,120.32,2026/6/15,187.33,55.69%,2026/6/23,231.6,23.63%,92.49%
MPO,太辰光,sz300570,2026/6/1,147.75,2026/6/15,222.1,50.32%,2026/6/23,264.52,19.10%,79.03%
铜箔,方邦股份,sh688020,2026/6/1,138.57,2026/6/15,227.2,63.96%,2026/6/23,229.61,1.06%,65.70%
铜箔,铜冠铜箔,sz301217,2026/6/1,104.89,2026/6/15,170.16,62.23%,2026/6/23,171.81,0.97%,63.80%
MPO,唯科科技,sz301196,2026/6/1,118.5,2026/6/15,191.78,61.84%,2026/6/23,193,0.64%,62.87%
光纤,远东股份,sh600869,2026/6/1,22.98,2026/6/15,32.68,42.21%,2026/6/23,36.08,10.40%,57.01%
CCL,南亚新材,sh688519,2026/6/1,216.55,2026/6/15,338.3,56.22%,2026/6/23,333,-1.57%,53.78%
MPO,蘅东光,sh688403,2026/6/1,19.74,2026/6/15,26.7,35.26%,2026/6/23,30.17,13.00%,52.84%
树脂,东材科技,sh601208,2026/6/1,47.79,2026/6/15,65.22,36.47%,2026/6/23,71.85,10.17%,50.35%
光纤,特发信息,sz000070,2026/6/1,17.01,2026/6/15,18.81,10.58%,2026/6/23,25.08,33.33%,47.44%
算力租赁,宏景科技,sz301396,2026/6/1,169.77,2026/6/15,198.73,17.06%,2026/6/23,248,24.79%,46.08%
光纤,通鼎互联,sz002491,2026/6/1,23.2,2026/6/15,24.13,4.01%,2026/6/23,33.68,39.58%,45.17%
光纤,永鼎股份,sh600105,2026/6/1,45.11,2026/6/15,53.53,18.67%,2026/6/23,62.49,16.74%,38.53%
光纤,杭电股份,sh603618,2026/6/1,38.44,2026/6/15,42.75,11.21%,2026/6/23,52.81,23.53%,37.38%
CCL,宏昌电子,sh603002,2026/6/1,17.04,2026/6/15,19.17,12.50%,2026/6/23,23.35,21.80%,37.03%
树脂,圣泉集团,sh605589,2026/6/1,49.2,2026/6/15,64.15,30.39%,2026/6/23,66.17,3.15%,34.49%
MPO,长芯博创,sz300548,2026/6/1,219.34,2026/6/15,268.84,22.57%,2026/6/23,286.02,6.39%,30.40%
铜箔,诺德股份,sh600110,2026/6/1,12.37,2026/6/15,14.23,15.04%,2026/6/23,15.44,8.50%,24.82%
算力租赁,盛视科技,sz002990,2026/6/1,48.47,2026/6/15,49.46,2.04%,2026/6/23,60,21.31%,23.79%
PCB,生益科技,sh600183,2026/6/1,135.63,2026/6/15,166.41,22.69%,2026/6/23,167.87,0.88%,23.77%
铜箔,海亮股份,sz002203,2026/6/1,20.06,2026/6/15,24.79,23.58%,2026/6/23,24.4,-1.57%,21.64%
CCL,宝鼎科技,sz002552,2026/6/1,57.93,2026/6/15,64.48,11.31%,2026/6/23,69.08,7.13%,19.25%
MPO,杰普特,sh688025,2026/6/1,369.83,2026/6/15,417.3,12.84%,2026/6/23,421.2,0.93%,13.89%
树脂,瑞丰高材,sz300243,2026/6/1,18.63,2026/6/15,19.75,6.01%,2026/6/23,21.14,7.04%,13.47%
PCB,深南电路,sz002916,2026/6/1,380,2026/6/15,399.8,5.21%,2026/6/23,426,6.55%,12.11%
铜箔,德福科技,sz301511,2026/6/1,128.53,2026/6/15,161.07,25.32%,2026/6/23,140.08,-13.03%,8.99%
PCB,方正科技,sh600601,2026/6/1,12.43,2026/6/15,13.45,8.21%,2026/6/23,13.43,-0.15%,8.05%
PCB,超颖电子,sh603175,2026/6/1,86.84,2026/6/15,85.59,-1.44%,2026/6/23,93.72,9.50%,7.92%
MPO,致尚科技,sz301486,2026/6/1,225.5,2026/6/15,240.1,6.47%,2026/6/23,238,-0.87%,5.54%
算力租赁,赛意信息,sz300687,2026/6/1,26.08,2026/6/15,25.48,-2.30%,2026/6/23,27.25,6.95%,4.49%
锂电储能,鹏辉能源,sz300438,2026/6/1,77.72,2026/6/15,74.13,-4.62%,2026/6/23,80.98,9.24%,4.19%
锂电储能,亿纬锂能,sz300014,2026/6/1,64.99,2026/6/15,58.77,-9.57%,2026/6/23,67.28,14.48%,3.52%
PCB,鹏鼎控股,sz002938,2026/6/1,103.34,2026/6/15,104.64,1.26%,2026/6/23,106.91,2.17%,3.45%
